title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Slow West,84,"Action,Adventure,Drama",6.9,47746,John Maclean,John Maclean,"May 15, 2015",3750000,229094,2089072,2015,5,15
Western Religion,105,"Adventure,Drama,Fantasy",3.8,261,James O'Brien,James O'Brien,"Oct 9, 2015",250000,0,0,2015,10,9
Incarnate,87,"Horror,Thriller",5.3,14102,Brad Peyton,Ronnie Christensen,"Dec 2, 2016",5000000,4799774,9371036,2016,12,2
Survivor,96,"Action,Crime,Thriller",5.6,35588,James McTeigue,Philip Shelby,"May 29, 2015",20000000,0,1703281,2015,5,29
Brotherly Love,89,Drama,6.5,2094,Jamal Hill,Jamal Hill,"Apr 24, 2015",1900000,478595,478595,2015,4,24
Reminiscence,116,"Mystery,Romance,Sci-Fi",5.9,64728,Lisa Joy,Lisa Joy,"Aug 18, 2021",67972729,3900193,15449322,2021,8,18
Hidden Away,96,"Drama,Romance",7.0,2921,Mikel Rueda,Mikel Rueda,"Jan 7, 2014",1000000,0,0,2014,1,7
Stung,87,"Action,Adventure,Comedy",5.1,5241,Benni Diez,Adam Aresty,"Jul 3, 2015",2500000,0,0,2015,7,3
Youth,124,"Comedy,Drama,Music",7.3,82683,Paolo Sorrentino,Paolo Sorrentino,"May 22, 2015",13000000,2703296,24001573,2015,5,22
American Ultra,96,"Action,Comedy",6.1,95568,Nima Nourizadeh,Max Landis,"Aug 19, 2015",28000000,14439985,30295028,2015,8,19
Regression,106,"Crime,Drama,Mystery",5.6,42346,Alejandro Amenábar,Alejandro Amenábar,"Oct 1, 2015",20000000,55039,15824374,2015,10,1
Annabelle,99,"Horror,Mystery,Thriller",5.4,174129,John R. Leonetti,Gary Dauberman,"Oct 2, 2014",6500000,84273813,256857527,2014,10,2
Antibirth,94,"Comedy,Horror,Mystery",4.9,3601,Danny Perez,Danny Perez,"Sep 2, 2016",2500000,0,0,2016,9,2
Sicario,121,"Action,Crime,Drama",7.7,469688,Denis Villeneuve,Taylor Sheridan,"Sep 17, 2015",30000000,46889293,84264182,2015,9,17
Oddball,95,"Adventure,Family",6.4,3207,Stuart McDonald,Peter Ivan,"Sep 17, 2015",7000000,0,10338919,2015,9,17
Chemical Cut,83,Drama,5.4,141,Marjorie Conrad,Marjorie Conrad,"Jul 5, 2016",1000000,0,0,2016,7,5
10 Days in a Madhouse,111,"Drama,History",5.7,2837,Timothy Hines,Timothy Hines,"Nov 11, 2015",12000000,14616,14616,2015,11,11
Virunga,100,"Documentary,War",8.1,12184,Orlando von Einsiedel,Orlando von Einsiedel,"Apr 17, 2014",1000000,0,0,2014,4,17
The Hateful Eight,168,"Crime,Drama,Mystery",7.8,654124,Quentin Tarantino,Quentin Tarantino,"Dec 25, 2015",62000000,54117416,151813358,2015,12,25
Pound of Flesh,104,"Action,Thriller",5.1,6997,Ernie Barbarash,Joshua Todd James,"May 15, 2015",7500000,0,0,2015,5,15
The Walking Deceased,88,"Comedy,Horror",3.6,3518,Scott Dow,Tim Ogletree,"Mar 20, 2015",2000000,0,43,2015,3,20
Housebound,107,"Comedy,Horror,Mystery",6.7,37421,Gerard Johnstone,Gerard Johnstone,"Oct 17, 2014",1500000,0,236863,2014,10,17
#Horror,97,"Crime,Drama,Horror",3.0,3934,Tara Subkoff,Tara Subkoff,"Nov 20, 2015",1500000,0,0,2015,11,20
American Made,115,"Action,Comedy,Crime",7.1,206189,Doug Liman,Gary Spinelli,"Aug 23, 2017",50000000,51342000,135569212,2017,8,23
The Veil,93,Horror,4.7,8148,Phil Joanou,Robert Ben Garant,"Jan 19, 2016",4000000,0,0,2016,1,19
Cut Throat City,123,"Action,Crime,Drama",4.9,3155,RZA,P.G. Cuschieri,"Jul 31, 2020",8000000,855894,864907,2020,7,31
Captain Fantastic,118,"Comedy,Drama",7.8,233493,Matt Ross,Matt Ross,"Jul 8, 2016",5000000,5879835,21340234,2016,7,8
Vaalu,155,"Comedy,Romance",4.7,1003,Vijay Chandar,Vijay Chandar,"Aug 14, 2015",1900000,0,12444,2015,8,14
The Visit,94,"Horror,Mystery,Thriller",6.3,149934,M. Night Shyamalan,M. Night Shyamalan,"Sep 10, 2015",5000000,65206105,98677816,2015,9,10
The Visit,83,Documentary,5.9,751,Michael Madsen,Michael Madsen,"Sep 10, 2015",5000000,65206105,98677816,2015,9,10
Not Cool,93,"Comedy,Drama,Romance",3.5,5932,Shane Dawson,Dan Schoffer,"Sep 19, 2014",800000,35688,35688,2014,9,19
Incredibles 2,118,"Action,Adventure,Animation",7.5,328142,Brad Bird,Brad Bird,"Jun 15, 2018",200000000,608581744,1242805359,2018,6,15
Mommy,139,Drama,8.0,61409,Xavier Dolan,Xavier Dolan,"Nov 13, 2014",4900000,3498695,17536004,2014,11,13
Jem and the Holograms,118,"Adventure,Drama,Family",4.2,8282,Jon M. Chu,Ryan Landels,"Oct 22, 2015",5000000,2184640,2368937,2015,10,22
Ricki and the Flash,101,"Comedy,Drama,Music",6.0,24715,Jonathan Demme,Diablo Cody,"Aug 7, 2015",18000000,26839498,41166033,2015,8,7
Allied,124,"Action,Drama,Romance",7.1,168402,Robert Zemeckis,Steven Knight,"Nov 20, 2016",106000000,40098064,119266661,2016,11,20
Criminal Activities,94,"Crime,Drama,Thriller",5.8,9354,Jackie Earle Haley,Robert Lowell,"Nov 20, 2015",7000000,0,386744,2015,11,20
Daisy Winters,90,Drama,6.5,355,Beth LaMure,Beth LaMure,"Dec 1, 2017",4500000,0,0,2017,12,1
By the Sea,122,"Drama,Romance",5.3,22472,Angelina Jolie,Angelina Jolie,"Nov 12, 2015",20000000,538460,3727746,2015,11,12
The Lady in the Van,104,"Biography,Comedy,Drama",6.7,31808,Nicholas Hytner,Alan Bennett,"Nov 13, 2015",6000000,10021175,42320503,2015,11,13
My Big Fat Greek Wedding 2,94,"Comedy,Romance",6.0,35292,Kirk Jones,Nia Vardalos,"Mar 23, 2016",18000000,59689605,92096558,2016,3,23
La La Land,128,"Comedy,Drama,Music",8.0,660585,Damien Chazelle,Damien Chazelle,"Nov 30, 2016",30000000,151101803,433873836,2016,11,30
31,102,"Horror,Thriller",5.1,22832,Rob Zombie,Rob Zombie,"Sep 16, 2016",1500000,779820,922727,2016,9,16
Yoga Hosers,88,"Action,Comedy,Horror",4.3,15387,Kevin Smith,Kevin Smith,"Jul 29, 2016",5000000,0,38767,2016,7,29
The Overnight,79,"Comedy,Mystery",6.1,17527,Patrick Brice,Patrick Brice,"Jun 19, 2015",200000,1109808,1165996,2015,6,19
Dope,103,"Adventure,Comedy,Crime",7.2,89031,Rick Famuyiwa,Rick Famuyiwa,"Jun 19, 2015",7000000,17506470,18190831,2015,6,19
The Boy,97,"Horror,Mystery,Thriller",6.0,101312,William Brent Bell,Stacey Menear,"Jan 21, 2016",10000000,35819556,68220952,2016,1,21
Baby Driver,113,"Action,Crime,Drama",7.5,602414,Edgar Wright,Edgar Wright,"Jun 28, 2017",34000000,107825862,226977991,2017,6,28
The Monster,91,"Drama,Fantasy,Horror",5.4,19193,Bryan Bertino,Bryan Bertino,"Nov 11, 2016",2700000,12544,86288,2016,11,11
Manchester by the Sea,137,Drama,7.8,310108,Kenneth Lonergan,Kenneth Lonergan,"Nov 17, 2016",8500000,47695371,77733867,2016,11,17
The Shallows,86,"Action,Drama,Horror",6.3,142626,Jaume Collet-Serra,Anthony Jaswinski,"Jun 23, 2016",13000000,55121623,118763442,2016,6,23
Code of Honor,106,"Action,Crime,Thriller",4.1,2983,Michael Winnick,Michael Winnick,"May 6, 2016",8000000,0,0,2016,5,6
The Purge: Election Year,108,"Action,Horror,Sci-Fi",6.0,109315,James DeMonaco,James DeMonaco,"Jul 1, 2016",10000000,79042440,118514727,2016,7,1
Fantastic Beasts: The Crimes of Grindelwald,134,"Adventure,Family,Fantasy",6.5,306656,David Yates,J.K. Rowling,"Nov 14, 2018",200000000,159555901,648455339,2018,11,14
Test,96,Drama,7.3,593,Aleksandr Kott,Aleksandr Kott,"Jun 6, 2014",250000,18823,18823,2014,6,6
The Family,152,"Comedy,Crime,Drama",7.1,25,Matt Tory,Matt Tory,"Sep 13, 2013",30000000,36918811,80588942,2013,9,13
The Gift,108,"Drama,Mystery,Thriller",7.0,170462,Joel Edgerton,Joel Edgerton,"Aug 6, 2015",5000000,43787265,58978477,2015,8,6
Mr. Church,104,"Comedy,Drama",7.6,31090,Bruce Beresford,Susan McMartin,"Sep 16, 2016",8000000,685780,685780,2016,9,16
The Wall,88,"Action,Drama,Thriller",6.2,30519,Doug Liman,Dwain Worrell,"May 12, 2017",3000000,1803064,4495262,2017,5,12
The Founder,115,"Biography,Drama",7.2,174574,John Lee Hancock,Robert Siegel,"Nov 25, 2016",15000000,12786053,24403192,2016,11,25
Fight Valley,90,"Action,Drama",2.7,662,Rob Hawk,Rob Hawk,"Jul 22, 2016",20000000,0,0,2016,7,22
They Will Have to Kill Us First,100,Documentary,7.2,138,Johanna Schwartz,Andy Morgan,"Oct 23, 2015",600000,0,7943,2015,10,23
Closure,62,Drama,6.4,34,Joseph Hovsepian,Joseph Hovsepian,"Mar 17, 2015",100000,0,0,2015,3,17
20th Century Women,119,"Comedy,Drama",7.3,49094,Mike Mills,Mike Mills,"Dec 25, 2016",7000000,5664763,9353729,2016,12,25
Gifted,101,Drama,7.6,129198,Marc Webb,Tom Flynn,"Apr 7, 2017",7000000,24801212,36964656,2017,4,7
The Prodigy,92,"Fantasy,Horror,Mystery",5.9,28153,Nicholas McCarthy,Jeff Buhler,"Feb 8, 2019",6000000,14856291,22413145,2019,2,8
Café Society,96,"Comedy,Drama,Romance",6.6,80975,Woody Allen,Woody Allen,"May 20, 2016",30000000,11103205,44348292,2016,5,20
Morgan,92,"Action,Horror,Sci-Fi",5.8,45932,Luke Scott,Seth W. Owen,"Sep 2, 2016",8000000,3915251,7298786,2016,9,2
Miss Sloane,132,Drama,7.5,81953,John Madden,Jonathan Perera,"Nov 25, 2016",18000000,3500605,7768259,2016,11,25
Darkest Hour,125,"Drama,War",7.4,218952,Joe Wright,Anthony McCarten,"Nov 22, 2017",30000000,56443120,150807630,2017,11,22
Crown Vic,110,"Crime,Drama",6.4,8326,Joel Souza,Joel Souza,"Nov 8, 2019",3600000,3868,3868,2019,11,8
The Book of Henry,105,"Crime,Drama,Thriller",6.6,29300,Colin Trevorrow,Gregg Hurwitz,"Jun 16, 2017",10000000,4288104,4797845,2017,6,16
Almost Christmas,111,"Comedy,Drama,Romance",6.1,7843,David E. Talbert,David E. Talbert,"Nov 11, 2016",17000000,42065185,42493506,2016,11,11
All Saints,108,Drama,6.2,1926,Steve Gomer,Steve Armour,"Aug 23, 2017",2000000,5802208,5946780,2017,8,23
On the Basis of Sex,120,"Biography,Drama",7.1,37949,Mimi Leder,Daniel Stiepleman,"Nov 23, 2018",20000000,24704837,38780888,2018,11,23
Collateral Beauty,97,"Drama,Romance",6.8,104665,David Frankel,Allan Loeb,"Dec 16, 2016",36000000,31016021,85309093,2016,12,16
It Comes at Night,91,"Drama,Horror,Mystery",6.2,102341,Trey Edward Shults,Trey Edward Shults,"Jun 9, 2017",5000000,13985117,19720203,2017,6,9
Believe,119,Drama,5.1,474,Billy Dickson,Billy Dickson,"Dec 2, 2016",3500000,890303,890303,2016,12,2
Bumblebee,114,"Action,Adventure,Sci-Fi",6.7,186748,Travis Knight,Christina Hodson,"Dec 13, 2018",102000000,127195589,465195589,2018,12,13
Personal Shopper,105,"Mystery,Thriller",6.1,42983,Olivier Assayas,Olivier Assayas,"Nov 19, 2016",6400000,1305195,3804977,2016,11,19
American Hero,86,"Action,Comedy,Drama",5.0,4450,Nick Love,Nick Love,"Dec 11, 2015",1000000,0,107590,2015,12,11
Air Strike,120,"Action,Adventure,Drama",3.2,4761,Xiao Feng,Ping Chen,"Oct 26, 2018",65000000,0,516279,2018,10,26
Unfriended: Dark Web,92,"Horror,Mystery,Thriller",6.0,37939,Stephen Susco,Stephen Susco,"Jul 19, 2018",1000000,8866745,16434588,2018,7,19
Sultan,170,"Action,Drama,Romance",7.0,51620,Ali Abbas Zafar,Ali Abbas Zafar,"Jul 1, 2016",11000000,5599781,72989781,2016,7,1
Rebirth,100,Thriller,5.0,5846,Karl Mueller,Karl Mueller,"Jul 15, 2016",2000000,0,0,2016,7,15
The Resurrection of Gavin Stone,91,"Comedy,Drama,Family",6.3,2503,Dallas Jenkins,Andrea Gyertson Nasfell,"Jan 20, 2017",2000000,2303792,2303792,2017,1,20
The Wretched,95,Horror,5.4,29,Nathaniel Davis,Nathaniel Davis,"May 1, 2020",66000,1815440,4594221,2020,5,1
Lady Bird,94,"Comedy,Drama",7.4,324401,Greta Gerwig,Greta Gerwig,"Nov 3, 2017",10000000,48958273,80120944,2017,11,3
Brothers,68,Documentary,7.4,85,Wojciech Staron,Wojciech Staron,"Aug 13, 2015",13000000,656688,17856688,2015,8,13
The Forest,109,"Drama,Fantasy,Horror",6.4,323,Paul Spurrier,Paul Spurrier,"Jan 7, 2016",10000000,26594261,40749230,2016,1,7
Dunkirk,106,"Action,Drama,History",7.8,732365,Christopher Nolan,Christopher Nolan,"Jul 18, 2017",150000000,190068280,512390011,2017,7,18
"Three Billboards Outside Ebbing, Missouri",115,"Comedy,Crime,Drama",8.1,550615,Martin McDonagh,Martin McDonagh,"Nov 10, 2017",12000000,54513740,161158351,2017,11,10
Get Out,104,"Horror,Mystery,Thriller",7.8,687845,Jordan Peele,Jordan Peele,"Feb 24, 2017",5000000,175837935,252297405,2017,2,24
Sicario: Day of the Soldado,122,"Action,Crime,Drama",7.1,165036,Stefano Sollima,Taylor Sheridan,"Jun 25, 2018",35000000,50065850,76346094,2018,6,25
Heist,47,Action,7.3,12,K.W. Jones,K.W. Jones,"Nov 12, 2015",8900000,50136,3324131,2015,11,12
Forsaken,89,Horror,2.0,631,Tristan Price,Tristan Price,"Feb 19, 2016",18000000,0,0,2016,2,19
Annabelle: Creation,109,"Horror,Mystery,Thriller",6.5,149743,David F. Sandberg,Gary Dauberman,"Aug 2, 2017",15000000,102092201,305384865,2017,8,2
The Land,104,Drama,6.4,1860,Steven Caple Jr.,Steven Caple Jr.,"Jul 29, 2016",1000000,43756,43756,2016,7,29
Operation Finale,122,"Biography,Drama,History",6.6,48484,Chris Weitz,Matthew Orton,"Aug 29, 2018",20000000,17612099,17612099,2018,8,29
The Eyes of My Mother,76,"Drama,Horror,Thriller",6.2,14348,Nicolas Pesce,Nicolas Pesce,"Dec 2, 2016",300000,27099,48539,2016,12,2
How It Ends,113,"Action,Drama,Horror",5.1,58164,David M. Rosenthal,Brooks McLaren,"Jul 13, 2018",20000000,0,0,2018,7,13
Step Sisters,108,Comedy,5.5,4851,Charles Stone III,Chuck Hayward,"Jan 19, 2018",10000000,0,0,2018,1,19
Happy Death Day,96,"Comedy,Horror,Mystery",6.6,161036,Christopher Landon,Scott Lobdell,"Oct 11, 2017",5000000,55683845,125010260,2017,10,11
The Little Prince,49,Documentary,8.0,5,Nicky Maas,Nicky Maas,"Jul 29, 2015",77500000,1311213,102027275,2015,7,29
Wish Upon,90,"Drama,Fantasy,Horror",5.1,22744,John R. Leonetti,Barbara Marshall,"Jul 14, 2017",12000000,14301505,23477345,2017,7,14
Wind River,107,"Crime,Drama,Mystery",7.7,278516,Taylor Sheridan,Taylor Sheridan,"Jun 16, 2017",11000000,33800859,44984979,2017,6,16
Detroit,143,"Crime,Drama,History",7.3,55742,Kathryn Bigelow,Mark Boal,"Jul 28, 2017",40000000,16790139,26033563,2017,7,28
Logan Lucky,118,"Action,Comedy,Crime",7.0,161314,Steven Soderbergh,Jules Asner,"Aug 18, 2017",29000000,27778642,49046121,2017,8,18
Bright,117,"Action,Fantasy,Thriller",6.3,200761,David Ayer,Max Landis,"Dec 13, 2017",90000000,0,0,2017,12,13
"I, Tonya",119,"Biography,Comedy,Drama",7.5,240644,Craig Gillespie,Steven Rogers,"Dec 8, 2017",11000000,30014534,53797409,2017,12,8
Mid90s,85,"Comedy,Drama",7.3,76925,Jonah Hill,Jonah Hill,"Oct 19, 2018",2800000,7362439,9186903,2018,10,19
Brawl in Cell Block 99,132,"Action,Crime,Drama",7.1,74759,S. Craig Zahler,S. Craig Zahler,"Oct 6, 2017",4000000,0,79208,2017,10,6
Traffik,96,"Action,Thriller",5.9,21350,Deon Taylor,Deon Taylor,"Apr 20, 2018",4000000,9186156,9561231,2018,4,20
Sorry to Bother You,112,"Comedy,Drama,Fantasy",6.9,87498,Boots Riley,Boots Riley,"Jul 6, 2018",3200000,17493096,18285560,2018,7,6
Home Again,97,"Comedy,Drama,Romance",5.8,34871,Hallie Meyers-Shyer,Hallie Meyers-Shyer,"Sep 8, 2017",15000000,27020284,37336874,2017,9,8
Just Getting Started,91,"Comedy,Crime",4.6,8277,Ron Shelton,Ron Shelton,"Dec 8, 2017",22000000,6069605,6756412,2017,12,8
Wheelman,82,"Action,Crime,Thriller",6.4,22197,Jeremy Rush,Jeremy Rush,"Oct 20, 2017",5000000,0,0,2017,10,20
Insidious: The Last Key,103,"Horror,Mystery,Thriller",5.7,71046,Adam Robitel,Leigh Whannell,"Jan 3, 2018",10000000,67745330,172811971,2018,1,3
The Possession of Hannah Grace,86,"Horror,Mystery,Thriller",5.2,25538,Diederik Van Rooijen,Brian Sieve,"Nov 28, 2018",6000000,14836174,42873730,2018,11,28
Skyscraper,102,"Action,Adventure,Thriller",5.8,132933,Rawson Marshall Thurber,Rawson Marshall Thurber,"Jul 5, 2018",125000000,68420120,304858121,2018,7,5
Phantom Thread,130,"Drama,Romance",7.4,144347,Paul Thomas Anderson,Paul Thomas Anderson,"Dec 25, 2017",35000000,21198205,47505098,2017,12,25
Hotel Artemis,94,"Action,Crime,Drama",6.1,57949,Drew Pearce,Drew Pearce,"Jun 7, 2018",15000000,6708137,13316627,2018,6,7
Miss Bala,104,"Action,Crime,Drama",5.8,12588,Catherine Hardwicke,Gareth Dunnet-Alcocer,"Jan 30, 2019",15000000,14998027,15364632,2019,1,30
Life Itself,117,"Drama,Romance",6.9,24441,Dan Fogelman,Dan Fogelman,"Sep 21, 2018",10000000,4095431,7960474,2018,9,21
Columbus,104,Drama,7.2,20700,Kogonada,Kogonada,"Aug 4, 2017",700000,1017107,1110511,2017,8,4
"Roman J. Israel, Esq.",122,"Crime,Drama,Thriller",6.5,42875,Dan Gilroy,Dan Gilroy,"Nov 17, 2017",22000000,11962712,12967012,2017,11,17
Acrimony,120,"Drama,Horror,Romance",5.9,9955,Tyler Perry,Tyler Perry,"Mar 29, 2018",20000000,43549096,46627836,2018,3,29
Late Night,102,"Comedy,Drama",6.5,40604,Nisha Ganatra,Mindy Kaling,"Jun 7, 2019",4000000,15500045,22373378,2019,6,7
Irreplaceable You,96,"Comedy,Drama,Romance",6.4,10373,Stephanie Laing,Bess Wohl,"Feb 16, 2018",10000000,0,0,2018,2,16
The First Purge,97,"Action,Horror,Sci-Fi",5.2,70333,Gerard McMurray,James DeMonaco,"Jul 4, 2018",13000000,69488745,137054597,2018,7,4
Roma,135,Drama,7.7,168935,Alfonso Cuarón,Alfonso Cuarón,"Nov 30, 2018",15000000,0,1903062,2018,11,30
Assassination Nation,108,"Action,Comedy,Crime",6.0,21554,Sam Levinson,Sam Levinson,"Sep 21, 2018",7000000,2005142,2852759,2018,9,21
A Ghost Story,92,"Drama,Fantasy,Mystery",6.8,78926,David Lowery,David Lowery,"Jul 7, 2017",100000,1594798,2769782,2017,7,7
Vice,132,"Biography,Comedy,Drama",7.2,161279,Adam McKay,Adam McKay,"Dec 21, 2018",60000000,47836282,70893782,2018,12,21
Patti Cake$,109,"Drama,Music",6.8,10509,Geremy Jasper,Geremy Jasper,"Aug 18, 2017",1000000,800148,1471090,2017,8,18
The Suicide Squad,132,"Action,Adventure,Comedy",7.2,404222,James Gunn,James Gunn,"Jul 28, 2021",185000000,55817425,167097737,2021,7,28
Bombshell,109,"Biography,Drama",6.8,126071,Jay Roach,Charles Randolph,"Dec 13, 2019",32000000,31762808,61404394,2019,12,13
Serenity,106,"Drama,Mystery,Thriller",5.4,44989,Steven Knight,Steven Knight,"Jan 24, 2019",25000000,8547045,13008804,2019,1,24
Upgrade,100,"Action,Sci-Fi,Thriller",7.5,204920,Leigh Whannell,Leigh Whannell,"Jun 1, 2018",3000000,11977130,16976561,2018,6,1
The Beach Bum,95,Comedy,5.5,24661,Harmony Korine,Harmony Korine,"Mar 21, 2019",5000000,3502600,4267808,2019,3,21
Jay and Silent Bob Reboot,105,"Action,Adventure,Comedy",5.6,28095,Kevin Smith,Kevin Smith,"Oct 18, 2019",10000000,4589490,4730228,2019,10,18
Dark Phoenix,113,"Action,Adventure,Sci-Fi",5.7,203134,Simon Kinberg,Simon Kinberg,"Jun 5, 2019",200000000,65845974,246356895,2019,6,5
Bad Times at the El Royale,141,"Crime,Drama,Mystery",7.1,163555,Drew Goddard,Drew Goddard,"Sep 27, 2018",32000000,17839115,31178942,2018,9,27
The Intruder,102,"Horror,Thriller",5.6,19491,Deon Taylor,David Loughery,"May 1, 2019",8000000,35388976,40597401,2019,5,1
Tenet,150,"Action,Sci-Fi,Thriller",7.3,583490,Christopher Nolan,Christopher Nolan,"Aug 26, 2020",205000000,58504105,359518466,2020,8,26
The Kid Who Would Be King,120,"Action,Adventure,Family",6.1,18544,Joe Cornish,Joe Cornish,"Jan 18, 2019",59000000,16790790,28296983,2019,1,18
Glass,129,"Drama,Horror,Sci-Fi",6.6,264996,M. Night Shyamalan,M. Night Shyamalan,"Jan 17, 2019",20000000,111048468,246999039,2019,1,17
Summerland,99,"Drama,Romance,War",7.0,9117,Jessica Swale,Jessica Swale,"Jun 24, 2020",1100000,58434,1414596,2020,6,24
Peppermint,101,"Action,Thriller",6.5,70351,Pierre Morel,Chad St. John,"Sep 7, 2018",25000000,35418723,51800758,2018,9,7
Us,116,"Horror,Mystery,Thriller",6.8,337699,Jordan Peele,Jordan Peele,"Mar 20, 2019",20000000,175084580,256022707,2019,3,20
Palmer,110,Drama,7.3,43215,Fisher Stevens,Cheryl Guerriero,"Jan 29, 2021",6713933,0,0,2021,1,29
Resident Evil: Welcome to Raccoon City,107,"Action,Horror,Sci-Fi",5.2,63234,Johannes Roberts,Johannes Roberts,"Nov 24, 2021",25000000,17000612,41909091,2021,11,24
Johnny English Strikes Again,89,"Action,Adventure,Comedy",6.2,82571,David Kerr,William Davies,"Sep 13, 2018",30000000,4412170,159369278,2018,9,13
Midway,138,"Action,Drama,History",6.7,93738,Roland Emmerich,Wes Tooke,"Nov 7, 2019",100000000,56846802,126815030,2019,11,7
Coco,98,Horror,7.2,39,Neil Boultby,Neil Boultby,"Oct 27, 2017",175000000,210460015,796514370,2017,10,27
Eighth Grade,93,"Comedy,Drama",7.4,81944,Bo Burnham,Bo Burnham,"Jul 13, 2018",2000000,13539710,14348020,2018,7,13
Velvet Buzzsaw,113,"Horror,Mystery,Thriller",5.7,65693,Dan Gilroy,Dan Gilroy,"Feb 1, 2019",21000000,0,0,2019,2,1
The Rhythm Section,109,"Action,Drama,Mystery",5.4,19541,Reed Morano,Mark Burnell,"Jan 31, 2020",50000000,5437971,5983043,2020,1,31
Triangle of Sadness,147,"Comedy,Drama",7.3,174048,Ruben Östlund,Ruben Östlund,"Jul 28, 2022",15600000,4608096,32890983,2022,7,28
Uncle Drew,103,"Comedy,Drama,Sport",5.8,15568,Charles Stone III,Jay Longino,"Jun 27, 2018",18000000,42469946,46594261,2018,6,27
Black and Blue,108,"Action,Thriller",6.4,26463,Deon Taylor,Peter A. Dowling,"Oct 23, 2019",12000000,22012729,22730144,2019,10,23
Anna,118,"Action,Thriller",6.6,92537,Luc Besson,Luc Besson,"Jun 19, 2019",30000000,7743794,32825217,2019,6,19
The Great Wall,72,Documentary,6.8,56,Tadhg O'Sullivan,Franz Kafka,"Dec 15, 2016",150000000,45157105,334486852,2016,12,15
Marriage Story,137,"Drama,Romance",7.9,343337,Noah Baumbach,Noah Baumbach,"Nov 27, 2019",18000000,0,321463,2019,11,27
Stuber,93,"Action,Comedy,Crime",6.2,51128,Michael Dowse,Tripper Clancy,"Jul 11, 2019",16000000,22370452,29634023,2019,7,11
Greenland,119,"Action,Thriller",6.4,131781,Ric Roman Waugh,Chris Sparling,"Jul 31, 2020",34000000,0,40629075,2020,7,31
Hereditary,127,"Drama,Horror,Mystery",7.3,372668,Ari Aster,Ari Aster,"Jun 1, 2018",10000000,44069456,81115343,2018,6,1
Spotlight,99,Drama,7.8,19,Sunkanmi Adebayo,Anthony Kehinde Joseph,"Nov 6, 2015",20000000,45055776,91902438,2015,11,6
The Photograph,106,"Drama,Romance",6.1,6156,Stella Meghie,Stella Meghie,"Feb 14, 2020",15000000,20578185,20704381,2020,2,14
Nobody,92,"Action,Crime,Drama",7.4,320167,Ilya Naishuller,Derek Kolstad,"Mar 19, 2021",16000000,27568035,57512470,2021,3,19
Dragon Ball Super: Broly,100,"Action,Adventure,Animation",7.7,31170,Tatsuya Nagamine,Akira Toriyama,"Dec 14, 2018",8500000,30376755,122740616,2018,12,14
Red Notice,118,"Action,Comedy,Thriller",6.3,314526,Rawson Marshall Thurber,Rawson Marshall Thurber,"Nov 4, 2021",150000000,0,173638,2021,11,4
Come Play,96,"Drama,Horror,Mystery",5.8,17934,Jacob Chase,Jacob Chase,"Oct 29, 2020",9000000,10475990,12624174,2020,10,29
High Flying Bird,90,"Drama,Sport",6.2,9214,Steven Soderbergh,Tarell Alvin McCraney,"Feb 8, 2019",2000000,0,0,2019,2,8
Honey Boy,94,Drama,7.2,40559,Alma Har'el,Shia LaBeouf,"Nov 7, 2019",3500000,3012615,3415721,2019,11,7
The Report,119,"Biography,Crime,Drama",7.2,50212,Scott Z. Burns,Scott Z. Burns,"Nov 8, 2019",8000000,0,242788,2019,11,8
All My Life,91,"Drama,Romance",6.3,6010,Marc Meyers,Todd Rosenberg,"Oct 23, 2020",25000000,913935,2024063,2020,10,23
The Tax Collector,95,"Action,Crime,Drama",4.8,15249,David Ayer,David Ayer,"Aug 7, 2020",30000000,1044212,1309971,2020,8,7
The Way Back,108,"Drama,Sport",6.7,52283,Gavin O'Connor,Brad Ingelsby,"Mar 5, 2020",23000000,13590514,14563409,2020,3,5
Fahrenheit 11/9,128,Documentary,7.2,20317,Michael Moore,Michael Moore,"Sep 21, 2018",5000000,6352306,6653715,2018,9,21
The Farewell,100,"Comedy,Drama",7.5,70559,Lulu Wang,Lulu Wang,"Jul 12, 2019",3000000,17700478,25466013,2019,7,12
Corpus Christi,115,Drama,7.7,21690,Jan Komasa,Mateusz Pacewicz,"Oct 11, 2019",1300000,127240,10951283,2019,10,11
Midsommar,148,"Drama,Horror,Mystery",7.1,395438,Ari Aster,Ari Aster,"Jul 3, 2019",9000000,27426363,46739562,2019,7,3
T-34,139,"Action,War",6.8,14162,Aleksey Sidorov,Aleksey Sidorov,"Dec 27, 2018",10000000,0,39526616,2018,12,27
Knives Out,130,"Comedy,Crime,Drama",7.9,766257,Rian Johnson,Rian Johnson,"Nov 27, 2019",40000000,165364060,312898746,2019,11,27
Pocahontas,53,Animation,2.0,76,Roswitha Haas,Roswitha Haas,"Jun 10, 1995",55000000,141579773,347100000,1995,6,10
Brahms: The Boy II,86,"Drama,Horror,Mystery",4.7,20371,William Brent Bell,Stacey Menear,"Feb 20, 2020",10000000,12611536,18968326,2020,2,20
Spiral,92,Drama,7.0,46,Sofiene Mamdi,Sofiene Mamdi,"May 12, 2021",20000000,23216862,39519588,2021,5,12
Blue Beetle,127,"Action,Adventure,Sci-Fi",6.0,90500,Angel Manuel Soto,Gareth Dunnet-Alcocer,"Aug 16, 2023",120000000,72541501,128777017,2023,8,16
